name	type	region	link	tip	property	value
		 127, 364, 801, 603	right|bottom			
					tooltip_type	simple
					enabled	true
					scaled	false
					image	main\sh_main2.tga
ammo_expensive_4	widget	 417, 487, 461, 523		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_7	widget	 417, 551, 461, 587		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_5	widget	 483, 487, 527, 523		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_2	widget	 483, 423, 527, 459		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_1	widget	 417, 423, 461, 459		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_3	widget	 351, 487, 395, 523		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_6	widget	 351, 551, 395, 587		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
ammo_expensive_0	widget	 351, 423, 395, 459		ammunition_tip		
					tooltip_type	ammunition_text
					enabled	TRUE
					scaled	false
SpeedBar	progress_bar	 616, 435, 675, 445		speed_tip		
					tooltip_type	tactical_text
					enabled	true
					scaled	false
					image	main\progress_background.tga
					progress_image	main\progress_face.tga
					direction	horizontal
					font	arial12b
					color	0xffFFFFFF
FuelBar	progress_bar	 616, 561, 708, 572				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	main\progress_background2.tga
					progress_image	main\progress_face2.tga
					direction	horizontal
					font	arial12b
					color	0xffFFFFFF
ArmoringView	widget	 724, 457, 785, 567				
					tooltip_type	simple
					enabled	TRUE
					scaled	false
ammo_useless_2	widget	 483, 423, 527, 459				
					tooltip_type	simple
					enabled	TRUE
					scaled	false
rechargeBar	progress_bar	 616, 585, 708, 596				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	main\progress_background2.tga
					progress_image	main\progress_face2.tga
					direction	horizontal
					font	arial12b
					color	0xffFFFFFF
ammo_useless_4	widget	 417, 487, 461, 523				
					tooltip_type	simple
					enabled	TRUE
					scaled	false
Unit_name	text	 576, 382, 798, 400		unit_name_tip		
					tooltip_type	tactical_text
					enabled	true
					scaled	false
					align	left|bottom
					text	14
					font	calibri18b
					single_line	true
					color	0xffBAB798
ammo_useless_5	widget	 483, 487, 527, 523				
					tooltip_type	simple
					enabled	TRUE
					scaled	false
ammo_useless_7	widget	 417, 551, 461, 587				
					tooltip_type	simple
					enabled	TRUE
					scaled	false
ammo_useless_1	widget	 417, 423, 461, 459				
					tooltip_type	simple
					enabled	TRUE
