name	type	region	link	tip	property	value
		 51, -2, 850, 278	hcenter|bottom			
					tooltip_type	simple
					enabled	true
					scaled	false
Background	widget	 1, 1, 897, 281				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	globalshop\tooltip_back.tga
Description	text	 7, 132, 845, 275				
					tooltip_type	simple
					enabled	true
					scaled	false
					font	verdana16
					single_line	false
					color	0xffFEFCDA
BaseInfo	widget	 1, 1, 252, 131				
					tooltip_type	simple
					enabled	true
					scaled	false
InfoHealthText	text	 89, 6, 249, 22				
					tooltip_type	simple
					enabled	true
					scaled	false
					text	tooltip_unitinfo_health
					font	tahoma14
					single_line	true
					color	0xffFFFFFF
InfoHealthBar	progress_bar	 5, 7, 86, 21				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	globalshop\progress_bar_back.tga
					progress_image	globalshop\progress_bar_front.tga
					direction	horizontal
					font	arial12b
					color	0xffFFFFFF
InfoFightText	text	 89, 6, 249, 22				
					tooltip_type	simple
					enabled	true
					scaled	false
					text	tooltip_unitinfo_fight
					font	tahoma14
					single_line	true
					color	0xffFFFFFF
InfoFightBar	progress_bar	 5, 7, 86, 21				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	globalshop\progress_bar_back.tga
					progress_image	globalshop\progress_bar_front.tga
					direction	horizontal
					font	arial12b
					color	0xffFFFFFF
InfoVisionText	text	 89, 6, 249, 22				
					tooltip_type	simple
					enabled	true
					scaled	false
					text	tooltip_unitinfo_vision
					font	tahoma14
					single_line	true
					color	0xffFFFFFF
InfoVisionBar	progress_bar	 5, 7, 86, 21				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	globalshop\progress_bar_back.tga
					progress_image	globalshop\progress_bar_front.tga
					direction	horizontal
					font	arial12b
					color	0xffFFFFFF
InfoCamoText	text	 89, 6, 249, 22				
					tooltip_type	simple
					enabled	true
					scaled	false
					text	tooltip_unitinfo_camo
					font	tahoma14
					single_line	true
					color	0xffFFFFFF
InfoCamoBar	progress_bar	 5, 7, 86, 21				
					tooltip_type	simple
					enabled	true
					scaled	false
					image	globalshop\progress_bar_back.tga
					progress_image	globalshop\progress_bar_front.tga
